filepath,filename,domain,label,stratify_key,flag,split
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_A_Walls\Non-Cracked\7106-46.jpg,7106-46.jpg,Walls,Non-Cracked,Walls_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_A_Walls\Non-Cracked\7100-122.jpg,7100-122.jpg,Walls,Non-Cracked,Walls_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_A_Walls\Non-Cracked\7121-117.jpg,7121-117.jpg,Walls,Non-Cracked,Walls_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_A_Walls\Non-Cracked\7116-121.jpg,7116-121.jpg,Walls,Non-Cracked,Walls_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7044-190.jpg,7044-190.jpg,Decks,Non-Cracked,Decks_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_A_Walls\Non-Cracked\7130-189.jpg,7130-189.jpg,Walls,Non-Cracked,Walls_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7051-86.jpg,7051-86.jpg,Decks,Non-Cracked,Decks_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7039-26.jpg,7039-26.jpg,Decks,Non-Cracked,Decks_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7016-217.jpg,7016-217.jpg,Decks,Non-Cracked,Decks_Non-Cracked,very_dark,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7041-9.jpg,7041-9.jpg,Decks,Non-Cracked,Decks_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7014-70.jpg,7014-70.jpg,Decks,Non-Cracked,Decks_Non-Cracked,very_dark,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7016-164.jpg,7016-164.jpg,Decks,Non-Cracked,Decks_Non-Cracked,very_dark,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7034-92.jpg,7034-92.jpg,Decks,Non-Cracked,Decks_Non-Cracked,very_bright,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7032-9.jpg,7032-9.jpg,Decks,Non-Cracked,Decks_Non-Cracked,very_bright,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Cracked\7025-146.jpg,7025-146.jpg,Decks,Cracked,Decks_Cracked,very_bright,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_A_Walls\Non-Cracked\7101-49.jpg,7101-49.jpg,Walls,Non-Cracked,Walls_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7051-118.jpg,7051-118.jpg,Decks,Non-Cracked,Decks_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7008-90.jpg,7008-90.jpg,Decks,Non-Cracked,Decks_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7043-245.jpg,7043-245.jpg,Decks,Non-Cracked,Decks_Non-Cracked,"noncracked_high_edges, very_dark",train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_A_Walls\Non-Cracked\7106-116.jpg,7106-116.jpg,Walls,Non-Cracked,Walls_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7057-6.jpg,7057-6.jpg,Decks,Non-Cracked,Decks_Non-Cracked,"noncracked_high_edges, very_dark",train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7054-174.jpg,7054-174.jpg,Decks,Non-Cracked,Decks_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7034-234.jpg,7034-234.jpg,Decks,Non-Cracked,Decks_Non-Cracked,noncracked_high_edges,train
C:\Users\ikerd\Desktop\Vision  Project\Crack-Identification---Group-A\Training_Pool_B_Decks\Non-Cracked\7032-39.jpg,7032-39.jpg,Decks,Non-Cracked,Decks_Non-Cracked,very_bright,train
