filepath,filename,domain,label,stratify_key,split,flag
Training_Pool_A_Walls\Non-Cracked\7095-165.jpg,7095-165.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7045-70.jpg,7045-70.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7045-151.jpg,7045-151.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7080-115.jpg,7080-115.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7133-87.jpg,7133-87.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7088-95.jpg,7088-95.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7100-24.jpg,7100-24.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7052-223.jpg,7052-223.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7106-46.jpg,7106-46.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,noncracked_high_edges
Training_Pool_A_Walls\Cracked\7114-39.jpg,7114-39.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7132-218.jpg,7132-218.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7100-122.jpg,7100-122.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,noncracked_high_edges
Training_Pool_A_Walls\Non-Cracked\7118-105.jpg,7118-105.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7112-42.jpg,7112-42.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7007-102.jpg,7007-102.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7030-45.jpg,7030-45.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7076-55.jpg,7076-55.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7135-100.jpg,7135-100.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7043-207.jpg,7043-207.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7119-33.jpg,7119-33.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7021-69.jpg,7021-69.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7052-209.jpg,7052-209.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7003-144.jpg,7003-144.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7040-160.jpg,7040-160.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7054-36.jpg,7054-36.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7089-1.jpg,7089-1.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7097-195.jpg,7097-195.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7028-131.jpg,7028-131.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7121-117.jpg,7121-117.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,noncracked_high_edges
Training_Pool_A_Walls\Non-Cracked\7111-56.jpg,7111-56.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7113-130.jpg,7113-130.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7116-121.jpg,7116-121.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,noncracked_high_edges
Training_Pool_A_Walls\Non-Cracked\7070-159.jpg,7070-159.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7012-137.jpg,7012-137.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7007-53.jpg,7007-53.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7053-140.jpg,7053-140.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7053-242.jpg,7053-242.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7093-32.jpg,7093-32.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7011-14.jpg,7011-14.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7140-214.jpg,7140-214.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7044-190.jpg,7044-190.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,noncracked_high_edges
Training_Pool_B_Decks\Non-Cracked\7027-41.jpg,7027-41.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7033-118.jpg,7033-118.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7054-29.jpg,7054-29.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7132-111.jpg,7132-111.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7081-235.jpg,7081-235.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7107-90.jpg,7107-90.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7139-117.jpg,7139-117.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7007-31.jpg,7007-31.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7013-79.jpg,7013-79.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7109-83.jpg,7109-83.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7027-198.jpg,7027-198.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7114-19.jpg,7114-19.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7105-195.jpg,7105-195.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7088-210.jpg,7088-210.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7130-189.jpg,7130-189.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,noncracked_high_edges
Training_Pool_B_Decks\Non-Cracked\7040-224.jpg,7040-224.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7004-216.jpg,7004-216.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7096-108.jpg,7096-108.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7012-217.jpg,7012-217.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7038-233.jpg,7038-233.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7054-233.jpg,7054-233.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7031-154.jpg,7031-154.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7134-162.jpg,7134-162.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7051-86.jpg,7051-86.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,noncracked_high_edges
Training_Pool_B_Decks\Non-Cracked\7045-196.jpg,7045-196.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7095-26.jpg,7095-26.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7006-127.jpg,7006-127.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7091-134.jpg,7091-134.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7079-226.jpg,7079-226.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7138-74.jpg,7138-74.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7033-234.jpg,7033-234.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7009-108.jpg,7009-108.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7100-162.jpg,7100-162.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7090-183.jpg,7090-183.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7043-43.jpg,7043-43.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7035-61.jpg,7035-61.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7114-220.jpg,7114-220.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7044-26.jpg,7044-26.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7015-160.jpg,7015-160.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7120-59.jpg,7120-59.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7069-114.jpg,7069-114.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7128-212.jpg,7128-212.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7039-26.jpg,7039-26.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,noncracked_high_edges
Training_Pool_B_Decks\Non-Cracked\7041-56.jpg,7041-56.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7086-202.jpg,7086-202.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7122-27.jpg,7122-27.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7106-136.jpg,7106-136.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7020-245.jpg,7020-245.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7102-21.jpg,7102-21.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7049-202.jpg,7049-202.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7027-231.jpg,7027-231.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7041-78.jpg,7041-78.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7140-89.jpg,7140-89.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7122-177.jpg,7122-177.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7131-250.jpg,7131-250.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7077-174.jpg,7077-174.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7025-229.jpg,7025-229.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7124-145.jpg,7124-145.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7018-124.jpg,7018-124.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7103-171.jpg,7103-171.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7137-240.jpg,7137-240.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7045-102.jpg,7045-102.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7011-107.jpg,7011-107.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7132-229.jpg,7132-229.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7037-193.jpg,7037-193.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7124-251.jpg,7124-251.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7016-107.jpg,7016-107.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7129-37.jpg,7129-37.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7015-234.jpg,7015-234.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7099-74.jpg,7099-74.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7015-126.jpg,7015-126.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7100-188.jpg,7100-188.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7043-88.jpg,7043-88.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7054-112.jpg,7054-112.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7032-237.jpg,7032-237.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7028-85.jpg,7028-85.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7099-182.jpg,7099-182.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7124-1.jpg,7124-1.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7044-176.jpg,7044-176.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7003-183.jpg,7003-183.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7092-39.jpg,7092-39.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7049-123.jpg,7049-123.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7019-74.jpg,7019-74.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7100-113.jpg,7100-113.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7073-119.jpg,7073-119.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7122-86.jpg,7122-86.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7088-252.jpg,7088-252.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
