filepath,filename,domain,label,stratify_key,flag,split
Training_Pool_A_Walls\Non-Cracked\7095-165.jpg,7095-165.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7045-70.jpg,7045-70.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7045-151.jpg,7045-151.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7080-115.jpg,7080-115.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7133-87.jpg,7133-87.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7088-95.jpg,7088-95.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7100-24.jpg,7100-24.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7052-223.jpg,7052-223.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7106-46.jpg,7106-46.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Cracked\7114-39.jpg,7114-39.jpg,Walls,Cracked,Walls_Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7132-218.jpg,7132-218.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7100-122.jpg,7100-122.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7118-105.jpg,7118-105.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7112-42.jpg,7112-42.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7007-102.jpg,7007-102.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7030-45.jpg,7030-45.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7076-55.jpg,7076-55.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Cracked\7135-100.jpg,7135-100.jpg,Walls,Cracked,Walls_Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7043-207.jpg,7043-207.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7119-33.jpg,7119-33.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7021-69.jpg,7021-69.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7052-209.jpg,7052-209.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7003-144.jpg,7003-144.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7040-160.jpg,7040-160.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7054-36.jpg,7054-36.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Cracked\7089-1.jpg,7089-1.jpg,Walls,Cracked,Walls_Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7097-195.jpg,7097-195.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7028-131.jpg,7028-131.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7121-117.jpg,7121-117.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7111-56.jpg,7111-56.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7113-130.jpg,7113-130.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7116-121.jpg,7116-121.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7070-159.jpg,7070-159.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_B_Decks\Cracked\7012-137.jpg,7012-137.jpg,Decks,Cracked,Decks_Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7007-53.jpg,7007-53.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7053-140.jpg,7053-140.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7053-242.jpg,7053-242.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Cracked\7093-32.jpg,7093-32.jpg,Walls,Cracked,Walls_Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7011-14.jpg,7011-14.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7140-214.jpg,7140-214.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7044-190.jpg,7044-190.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7027-41.jpg,7027-41.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7033-118.jpg,7033-118.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7054-29.jpg,7054-29.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7132-111.jpg,7132-111.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7081-235.jpg,7081-235.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7107-90.jpg,7107-90.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Cracked\7139-117.jpg,7139-117.jpg,Walls,Cracked,Walls_Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7007-31.jpg,7007-31.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_B_Decks\Non-Cracked\7013-79.jpg,7013-79.jpg,Decks,Non-Cracked,Decks_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7109-83.jpg,7109-83.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_B_Decks\Cracked\7027-198.jpg,7027-198.jpg,Decks,Cracked,Decks_Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7114-19.jpg,7114-19.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7105-195.jpg,7105-195.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
Training_Pool_A_Walls\Cracked\7088-210.jpg,7088-210.jpg,Walls,Cracked,Walls_Cracked,pending,train
Training_Pool_A_Walls\Non-Cracked\7130-189.jpg,7130-189.jpg,Walls,Non-Cracked,Walls_Non-Cracked,pending,train
